source,taxonomy,window,code,name,taxonomy_class,measure_class,n_facts,n_filings,resolved_id,tier,confidence,rule,seen_in_train,in_crosswalk,declared_out_of_core,baseline_naive,gold
eurostat_na_item,gfs,holdout,D1,Compensation of employees,standard,monetary,9556,30,EXP_PersonnelCosts_Gov,tier1_exact,1.0,tier1:gfs:D1,True,True,False,,
eurostat_na_item,gfs,holdout,D7,Other current transfers,standard,monetary,9507,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D7,True,True,False,,
eurostat_na_item,gfs,holdout,D9,Capital transfers,standard,monetary,9311,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D9,True,True,False,,
eurostat_na_item,gfs,holdout,P2_D29_D5_D8,"Intermediate consumption; other taxes on production; current taxes on income, wealth, etc.; adjustment for the change in pension entitlements",standard,monetary,9274,29,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,D92,Investment grants,standard,monetary,9266,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D92,True,True,False,,
eurostat_na_item,gfs,holdout,D3,Subsidies,standard,monetary,9228,30,EXP_GrantsAndSubsidiesPaid,tier1_exact,1.0,tier1:gfs:D3,True,True,False,,
eurostat_na_item,gfs,holdout,NP,Acquisitions less disposals of non-financial non-produced assets,standard,monetary,9012,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,D29_D5_D8,"""Other taxes on production; current taxes on income, wealth, etc; adjustment for the change in pension entitlements""",standard,monetary,8917,30,,escalated,0.0,,True,False,True,,
eurostat_na_item,gfs,holdout,D62_D632,Social benefits other than social transfers in kind and social transfers in kind - purchased market production,standard,monetary,8789,30,,escalated,0.0,,True,False,False,,
eurostat_na_item,gfs,holdout,D62,Social benefits other than social transfers in kind,standard,monetary,8767,30,EXP_SocialBenefitsExpense,tier1_exact,1.0,tier1:gfs:D62,True,True,False,,
eurostat_na_item,gfs,holdout,D632,Social transfers in kind - purchased market production,standard,monetary,8701,30,EXP_SocialBenefitsExpense,tier1_exact,1.0,tier1:gfs:D632,True,True,False,,
