codelist_id,code,label_en,parent_code,description
CL_GFS_INDICATOR,G32OTC_A_TCB_CAB_MI,"Net acquisition of financial assets other than cash, Transactions (cash basis of recording), Cash basis, Memorandum Item",,"The net increase in the government's financial assets excluding cash, such as investments in securities or loans. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis Memorandum Item"
CL_GFS_INDICATOR,G32OTC_A_T_CAB_MI,"Net acquisition of financial assets other than cash, Transactions, Cash basis, Memorandum Item",,"The net increase in the government's financial assets excluding cash, such as investments in securities or loans. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value. Cash basis Memorandum Item"
CL_GFS_INDICATOR,G32OTC_FD_A_TCB_CAB_MI,"Net acquisition of financial assets other than cash, Foreign Debtors, Transactions (cash basis of recording), Cash basis, Memorandum Item",,"The net increase in the government's financial assets excluding cash, such as investments in securities or loans. Foreign Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis Memorandum Item"
CL_GFS_INDICATOR,G32_A_T,"Net acquisition of financial assets, Transactions",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G32_A_TCB_CAB,"Net acquisition of financial assets, Transactions (cash basis of recording), Cash basis",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G32_DD_A_T,"Net acquisition of financial assets, Domestic Debtors, Transactions",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Domestic Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G32_DD_A_TCB_CAB,"Net acquisition of financial assets, Domestic Debtors, Transactions (cash basis of recording), Cash basis",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Domestic Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G32_FD_A_T,"Net acquisition of financial assets, Foreign Debtors, Transactions",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Foreign Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
CL_GFS_INDICATOR,G32_FD_A_TCB_CAB,"Net acquisition of financial assets, Foreign Debtors, Transactions (cash basis of recording), Cash basis",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. Foreign Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Transactions (cash basis of recording). Cash basis"
CL_GFS_INDICATOR,G32_IO_FD_A_T,"Net acquisition of financial assets, International Organizations, Foreign Debtors, Transactions",,"The difference between the acquisition and disposal of financial assets by the government, representing the net increase in financial assets. International Organizations Foreign Debtors Assets are a store of value representing a benefit or series of benefits accruing to the economic owner by holding or using the item over a period of time. It is a means of carrying forward value from one accounting period to another. Economic flows that result from interactions between institutional units by mutual agreement, involving an exchange of value."
